Date,Description,Category,Amount
2025-01-05,Coffee Shop,Food & Drinks,4.50
2025-01-06,Amazon Purchase,Shopping,59.99
2025-01-07,Rent,Living,800.00
2025-01-08,Salary,Income,2500.00
2025-01-09,Electricity Bill,Utilities,120.75
2025-01-10,Netflix Subscription,Entertainment,15.99
2025-01-11,Gym Membership,Health,45.00
2025-01-12,Flight Tickets,Travel,320.50
2025-01-13,Groceries,Food & Drinks,95.20
2025-01-14,Freelance Payment,Income,600.00
2025-01-15,Car Fuel,Transport,50.75
2025-01-16,Restaurant Dinner,Food & Drinks,72.30
2025-01-17,Insurance Premium,Finance,150.00
2025-01-18,Spotify,Entertainment,9.99
2025-01-19,Medical Checkup,Health,200.00
2025-01-20,Bookstore,Education,35.50
2025-01-21,Internet Bill,Utilities,45.99
2025-01-22,Tutoring Income,Income,300.00
2025-01-23,Concert Tickets,Entertainment,120.00
2025-01-24,Home Decor,Shopping,200.00
2025-01-25,Taxi Ride,Transport,18.75
2025-01-26,Pet Food,Shopping,35.20
2025-01-27,Software License,Work,199.00
2025-01-28,Laptop Purchase,Work,1200.00
2025-01-29,Charity Donation,Others,100.00
2025-01-30,Stock Dividend,Income,75.00
2025-02-01,Bus Pass,Transport,25.00
2025-02-02,Weekend Brunch,Food & Drinks,60.40
2025-02-03,Movie Tickets,Entertainment,30.00
2025-02-04,Phone Bill,Utilities,55.75
